fixture,meetings
West Indies vs India,2
Sri Lanka vs New Zealand,2
Sri Lanka vs Chennai Super Kings,2
New Zealand vs Pakistan,2
Mumbai Indians vs South Africa,2
Mumbai Indians vs Rajasthan Royals,2
Gujarat Titans vs Kolkata Knight Riders,2
West Indies vs Sunrisers Hyderabad,1
West Indies vs Pakistan,1
West Indies vs Ireland,1
West Indies vs England,1
West Indies vs Australia,1
West Indies vs Afghanistan,1
Sunrisers Hyderabad vs Royal Challengers Bengaluru,1
Sunrisers Hyderabad vs Rajasthan Royals,1
Sunrisers Hyderabad vs Pakistan,1
Sunrisers Hyderabad vs Chennai Super Kings,1
Sri Lanka vs Rajasthan Royals,1
South Africa vs Sunrisers Hyderabad,1
South Africa vs Royal Challengers Bengaluru,1
